"","stX","stY","angle","disALL","travelDIS","travelANG","Dur","meanCur","meanCur2","sdCur","sdCur2","S","mark","noperson","noslide"
"8",169,180,-4.1277051413585,145.885763954866,146.635350604669,-25.5130270141315,148,-0.197046274917932,-0.0100373999455158,0.271902046653836,0.0155417914202812,0.994888090445367,2,1,8
"13",142,169,-0.716159945470409,200.015624389696,200.86674168484,-0.407720229848459,127,0.00827691200772095,0.000343592906022198,0.128032444941142,0.00290906624131906,0.995762776415824,2,1,13
"14",111,176,-2.57914750028342,222.225111092334,224.289344415314,-24.1537391848886,160,-0.538331213470273,-0.110521236041773,1.19956064873475,0.266233712727502,0.990796560896097,2,1,14
"18",76,170,6.58194465517801,65.431261641512,66.7047887087877,21.4746003117783,116,0.347002030863826,0.0168211139644157,0.684029525858784,0.0332094125015818,0.980908011374782,2,1,18
"27",177,139,8.35435083537969,144.533733086778,145.600779057346,37.8819942907085,160,0.232693950277303,0.00696349775460988,0.30679246346874,0.0114827173261693,0.99267142677755,2,1,27
"28",152,137,1.26677638774002,203.549748218955,205.892047038758,20.3591091666405,150,0.146377351987561,0.00562454170365927,0.237225341878444,0.00739498373628196,0.988623655680292,2,1,28
"36",148,143,5.13255443987297,167.6722994415,170.078877990751,22.5696921594116,149,-0.113244969333285,-0.0456092700051575,0.983219485469074,0.148190806937013,0.985850220922897,2,1,36
"37",145,180,-5.85601358542896,156.818366271301,158.249450584256,-40.8183830319665,148,-0.445276244529171,-0.0441049941557721,0.658770546622329,0.0911021534794865,0.990956781791839,2,1,37
"46",181,180,-8.51170513842469,148.637142060792,148.762456085722,-32.6094302557677,88,-0.713611026986908,-0.230127411682404,1.01429011380121,0.450142953867381,0.99915762331285,2,2,6
"47",123,137,1.05805166669212,177.379513329993,177.387400675724,2.68405213552267,106,0.0148318169431268,0.000279225902791817,0.0154399043510541,0.000367697707422391,0.999955536043139,2,2,7
"51",174,167,2.16925758972851,132.09466302618,133.063493624104,3.29781808943171,99,-0.074048690012201,-0.0094411261440962,0.409263059947019,0.0257406976276513,0.992719035315118,2,2,11
"54",145,167,-12.9094749275899,188.755463589884,191.141336940967,-65.9865987508453,108,-0.506260437478309,-0.0172288812602344,0.530819755729987,0.0230585173150731,0.987517753149229,2,2,14
"55",94,135,0.983521919139102,233.034332234544,235.984522719432,10.1244394770086,107,1.0450702876389,0.244261045170283,2.33341335095248,0.494595384712596,0.987498372982725,2,2,15
"65",197,161,-15.3805608223053,160.238884169854,160.754605364957,-48.6410870560035,105,-0.328863057874222,-0.00684697540367178,0.180370025999126,0.00490841089496847,0.996791872967295,2,3,5
"66",153,181,-8.80066189525401,191.178923248962,192.787011769141,-19.1115879893112,105,0.0488771319644408,0.00833347325082224,0.475846987309225,0.0234131214091457,0.991658729986929,2,3,6
"73",92,219,-0.303149443714127,189.002645484131,191.004145867459,-7.36648921381282,107,-0.017482307764076,0.00370176337236436,0.357245970136895,0.0176570432937071,0.989521167856131,2,3,13
"74",117,139,25.9994963155074,241.620279718699,243.226250084815,78.651846240872,96,0.349455990541144,0.00493759233019549,0.188702869059644,0.00385563864347855,0.99339721610823,2,3,14
"78",221,198,-9.39546601956689,70.4450140180269,71.0560972380708,-19.6446346788999,71,-0.289330642305257,-0.00853289995417369,0.322860028633644,0.00976744096836148,0.991399988969327,2,3,18
"87",83,216,-10.5251078710283,186.131673822593,186.563521001466,-39.4424896194676,98,-0.284631606628904,-0.010698675431686,0.273880882346263,0.015192294500465,0.99768525392019,2,4,8
"88",102,170,-5.80880736230311,232.192269466492,232.811488552805,-40.2629309185089,169,-0.175120383864645,-0.0054643729485891,0.150381315414918,0.00516848081412526,0.997340255456625,2,4,9
"93",147,197,-6.70983680775693,162.613806301925,163.775283140051,-41.2972392116772,203,-0.231612320820609,-0.00945915988830831,0.289125629659556,0.0127507751918314,0.992908106669964,2,4,14
"97",125,154,1.9274958866719,208.117755129158,209.050897628213,8.08796057074409,159,0.0227934632206953,0.000194839087337831,0.128659453311179,0.0032504540785855,0.995536290397972,2,4,18
"98",101,251,-14.0656108561866,236.593533301314,237.754903004729,-61.4208700757703,106,-0.24674853987245,-0.00535771027126005,0.223502877459839,0.0060655746452561,0.995115264969355,2,4,19
"100",166,179,-7.67787660485783,152.768642049628,152.993152224388,-31.5159901744361,116,-0.222439726138995,-0.00660252255299832,0.123971613672053,0.00443201229302424,0.998532547558526,2,4,21
"101",66,222,-9.41315536124415,287.369535615729,290.745881552852,-58.8461945643355,147,-0.235947096993739,-0.0062486034232681,0.336385391685717,0.0107308024902713,0.988387295740563,2,4,22
"111",155,161,-3.09008883277084,194.783212829032,195.208592865387,-21.987344206221,116,-0.275065666944804,-0.0161887896340166,0.459668935350173,0.03052663091127,0.99782089492009,2,5,8
"112",136,155,-7.18053549772016,192.005859285596,199.795919930965,-29.0399338899607,126,-0.178670387218495,-0.00482392749490151,1.06100568537644,0.042615777939499,0.96100991127316,2,5,9
"114",173,159,-0.614408400040276,186.510723552293,187.552151153395,-4.06657708704092,105,-0.0343676365511249,-0.000774204642659007,0.137481117564703,0.00248666780975659,0.994447263895949,2,5,11
"117",161,161,-6.28077808147177,159.390084904088,159.971244576596,-24.8091841846252,107,-0.220475661562126,-0.00617761700567989,0.215899972529812,0.00713677883178275,0.996367099136813,2,5,14
"122",191,149,-12.2558644168908,136.613505920901,137.1186756312,-55.4869006993304,128,-0.538307762093884,-0.0243959680156312,0.547084108077637,0.035427062440492,0.996315821255025,2,5,19
"123",158,170,-6.04684481948719,132.432269788256,135.138054713997,-36.0052788047945,194,-0.325941667695732,-0.0155655595387321,0.449501150443593,0.0180400476238176,0.979977624130613,2,5,20
"136",132,163,10.405208766979,229.778697881244,230.31799103097,35.6915547380599,118,0.18671821918439,0.00476969759199272,0.142278238170604,0.00483285429490147,0.997658484483508,2,6,11
"140",126,185,5.23384319590233,182.705023796673,182.926948449579,9.24860495039625,98,0.0459439959977846,0.000472901156237929,0.0309436768636111,0.000197258171296507,0.99878681268787,2,6,15
"141",119,164,7.49489308159561,249.4912102589,250.127645641593,18.9446549884535,107,0.0641544819085311,0.000654927514977708,0.0558930010150098,0.000567218009109516,0.997455557617148,2,6,16
"162",170,213,-2.97373108248011,154.20765220961,154.813948795116,-6.62204508688871,97,0.0412217494523795,0.0214514981634946,0.191000515707895,0.03880792567473,0.99608370828194,2,7,4
"163",193,205,-1.78991060824607,144.070295342239,144.68474211002,-13.8997026181677,148,-0.172043012871646,-0.00865795542504187,0.259089422127991,0.0141142655441294,0.995753202730153,2,7,5
"164",170,265,-4.29162837152004,106.904672340391,108.371096631216,-24.2414538314444,99,-0.410519621801724,-0.0207895991998287,0.712845655403839,0.0360223612755241,0.986468492647857,2,7,6
"165",189,257,-4.8365834457353,130.464554573263,130.608764327198,-12.4829367092671,107,-0.0825309445513541,-0.0016427190026677,0.0716273225686524,0.00142361779772082,0.998895864648306,2,7,7
"171",189,209,-4.93498935112063,127.869278055628,128.776617536723,-28.2984718325878,89,-0.500016084916677,-0.0290238800918396,0.738721534689219,0.0472330541809974,0.992954159703446,2,7,13
"172",111,227,-2.3111314527614,223.181540455298,223.414176863491,-14.553249609447,116,-0.275693150878705,-0.0266381590216902,0.527623634693173,0.053050879618261,0.998958721369169,2,7,14
"189",131,177,4.44124118943281,206.620424934226,207.806872700618,14.8320772356673,106,0.0906670073757109,0.00295226755806327,0.250017613804442,0.00843323006330166,0.994290623062784,2,8,12
"190",144,195,5.71059313749964,226.12220147522,227.70426902191,10.2379223268922,105,0.00776244745758783,-0.000601514659787809,0.167200159461206,0.00312664128054855,0.993052095362612,2,8,13
"198",126,205,-1.7569883099082,163.076669085434,163.606655791861,-7.59827600293505,116,-0.0400010078038112,-0.00105194283459188,0.130127342385038,0.00347689933322302,0.996760604243985,2,8,21
"199",154,162,-2.29061004263853,100.079968025574,100.776051937067,-1.1846638974269,106,33.7205708451135,988.272164260607,58.4867052058802,1711.73922413118,0.99309276461905,2,8,22
"204",125,126,17.7157927063769,226.753169768363,226.753169768363,17.7157927063769,99,0.0781280928706501,0.000344551271104439,0,0,1,2,8,27
"207",175,231,-3.00292762138391,152.709691899368,153.689765118703,-23.9599421374313,106,-0.347532574977044,-0.0210740487045575,0.668200887761196,0.0416388821754012,0.993623041725795,2,9,3
"208",135,196,4.37774092874009,209.611545483544,209.718512423116,16.2902696091506,116,0.11451965560391,0.00453470765453939,0.149304105369048,0.00791930018682035,0.999489949941299,2,9,4
"214",205,185,-7.18853714273665,111.879399354841,112.197555549949,-14.8774675468391,88,-0.137510972750106,-0.00254725914114605,0.120216206725463,0.00235102803284249,0.997164321508177,2,9,10
"215",140,220,5.39526456821309,180.80099557248,180.972866657093,17.4045163816531,106,0.227371533200675,0.0139739295503075,0.307230436462689,0.0231920512168961,0.999050293628056,2,9,11
"219",112,220,2.28048532468188,226.179132547634,226.255920996774,6.25121664311543,105,0.0203072196648718,0.00027830017200965,0.030656170844517,0.000468486889272741,0.999660612421535,2,9,15
"222",160,258,-5.01985364201955,148.569848892701,149.773788613091,-17.4899894687531,87,-0.164521920977399,-0.00866593103696821,0.191081109374358,0.00865684523304597,0.991961612699132,2,9,18
"223",143,181,2.03800164789646,193.096411208687,198.286048954185,-0.982545282857155,128,-0.0506424842170765,-0.0020280096078072,0.362676569426093,0.00850850480060617,0.973827519521068,2,9,19
"224",147,166,-1.03224469156573,222.036033111745,222.645599583472,-11.232687526998,118,-0.100586041578128,-0.00338087338447744,0.187887529585771,0.00624879916081293,0.997262166991544,2,9,20
"225",136,174,4.32764820310819,185.528973478538,185.661846399082,18.2985061843375,129,0.207190670951711,0.0157822477869037,0.29375368651346,0.029546806803574,0.999284328346823,2,9,21
"226",79,211,-4.46231429862455,276.337655776407,282.713241903144,-0.146335056305263,117,0.135872504549167,0.00653548146352425,0.531429283454529,0.016706773620024,0.977448576218721,2,9,22
"239",163,157,2.59350644478905,143.647137110351,143.672118252911,7.68853040126259,73,0.0557943264851669,0.00127056069300138,0.0357245441582594,0.000918407062193021,0.999826123935084,2,10,10
"240",134,151,-8.93956500315152,135.141592413291,135.282181003002,-29.155073520834,85,-0.257032060988797,-0.00733836704503608,0.185628633954496,0.00743079239606674,0.99896077525755,2,10,11
"248",163,205,-8.82637095422792,162.92943257742,162.970054292338,-26.9456368437319,89,-0.188225454523195,-0.00427128968842447,0.0902130671772903,0.00301711168102444,0.999750741232222,2,11,5
"249",121,201,4.79504237054537,227.295512494198,227.372797218568,10.4009884358992,84,0.0391600793829517,0.000512521549833152,0.0403023997235663,0.000678422443897525,0.999660096874754,2,11,6
"272",45,186,5.42681249857282,301.350709307279,315.098363222782,59.1578171557913,204,0.580427892585876,0.0670496661398529,1.35753273248436,0.161651076261872,0.95637027823663,2,12,9
